id,episode_id,number,raw_text,timestamp_in_ms,speaking_line,character_id,location_id,raw_character_text,raw_location_text,spoken_words,normalized_text,word_count
1,163,74,Bart Simpson: It's your birthday?,470000,TRUE,8,6,Bart Simpson,KITCHEN,It's your birthday?,its your birthday,3
2,163,75,"Homer Simpson: (HURT) Yes. Remember, it's the same day as the dog's?",471000,TRUE,2,6,Homer Simpson,KITCHEN,"Yes. Remember, it's the same day as the dog's?",yes remember its the same day as the dogs,9
3,163,76,"Lisa Simpson: Santa's Little Helper, it's your birthday? (HUGS DOG) We've got to get you a present! (CUTESY) Yes we do! Yes we do!",474000,TRUE,9,6,Lisa Simpson,KITCHEN,"Santa's Little Helper, it's your birthday? We've got to get you a present! Yes we do! Yes we do!",santas little helper its your birthday weve got to get you a present yes we do yes we do,19
4,163,77,Bart Simpson: (TO DOG) We love you boy!,481000,TRUE,8,6,Bart Simpson,KITCHEN,We love you boy!,we love you boy,4
5,163,78,Marge Simpson: Good doggy. Good doggy!,483000,TRUE,1,6,Marge Simpson,KITCHEN,Good doggy. Good doggy!,good doggy good doggy,4
6,163,79,Homer Simpson: Lousy loveable dog.,486000,TRUE,2,6,Homer Simpson,KITCHEN,Lousy loveable dog.,lousy loveable dog,3
7,163,81,"Homer Simpson: Oh, it was awful. They set me on a cold metal table and prodded me with humiliating probes and the -- oh wait, that was my physical.",490000,TRUE,2,10,Homer Simpson,Springfield Nuclear Power Plant,"Oh, it was awful. They set me on a cold metal table and prodded me with humiliating probes and the -- oh wait, that was my physical.",oh it was awful they set me on a cold metal table and prodded me with humiliating probes and the -- oh wait that was my physical,27
8,163,82,"Carl Carlson: Great story, Homer. Really.",500000,TRUE,170,10,Carl Carlson,Springfield Nuclear Power Plant,"Great story, Homer. Really.",great story homer really,4
9,163,84,Homer Simpson: The alien has a sweet heavenly voice -- like Urkel! And he appears every Friday night -- like Urkel!,502000,TRUE,2,192,Homer Simpson,Springfield Police Station,The alien has a sweet heavenly voice -- like Urkel! And he appears every Friday night -- like Urkel!,the alien has a sweet heavenly voice -- like urkel and he appears every friday night -- like urkel,19
10,163,85,"Chief Wiggum: (PATRONIZING) Well, your story is very compelling, Mr. Jackass... I mean, uh, Simpson. So I'll just type it up on my invisible typewriter.",511000,TRUE,71,192,Chief Wiggum,Springfield Police Station,"Well, your story is very compelling, Mr. Jackass... I mean, uh, Simpson. So I'll just type it up on my invisible typewriter.",well your story is very compelling mr jackass i mean uh simpson so ill just type it up on my invisible typewriter,22
11,163,86,Homer Simpson: (HURT) You don't have to humiliate me.,524000,TRUE,2,192,Homer Simpson,Springfield Police Station,You don't have to humiliate me.,you dont have to humiliate me,6
12,163,87,Guilty Man: I just torched a building downtown... and I'm afraid I'll do it again.,529000,TRUE,2127,192,Guilty Man,Springfield Police Station,I just torched a building downtown... and I'm afraid I'll do it again.,i just torched a building downtown and im afraid ill do it again,13
13,163,88,"Chief Wiggum: Yeah, right, I'll just type it up on my invisible typewriter. (HUMS) Fruitcake.",532000,TRUE,71,192,Chief Wiggum,Springfield Police Station,"Yeah, right, I'll just type it up on my invisible typewriter. Fruitcake.",yeah right ill just type it up on my invisible typewriter fruitcake,12
14,163,90,"Fox Mulder: Look at this, Scully. There's been another unsubstantiated UFO sighting in the heartland of America.",551000,TRUE,2128,1541,Fox Mulder,FBI BUILDING,"Look at this, Scully. There's been another unsubstantiated UFO sighting in the heartland of America.",look at this scully theres been another unsubstantiated ufo sighting in the heartland of america,15
15,163,91,Fox Mulder: We've got to get there right away.,558000,TRUE,2128,1541,Fox Mulder,FBI BUILDING,We've got to get there right away.,weve got to get there right away,7
16,163,243,Groundskeeper Willie: Ay! It's a monster! Kill it! Kill it!,1183000,TRUE,404,1545,Groundskeeper Willie,SPRINGFIELD FIELD,Ay! It's a monster! Kill it! Kill it!,ay its a monster kill it kill it,8
17,163,92,"Dana Scully: Well gee, Mulder, there's also this report of a shipment of drugs and illegal weapons coming into New Jersey tonight.",559000,TRUE,2129,1541,Dana Scully,FBI BUILDING,"Well gee, Mulder, there's also this report of a shipment of drugs and illegal weapons coming into New Jersey tonight.",well gee mulder theres also this report of a shipment of drugs and illegal weapons coming into new jersey tonight,20
18,163,93,Fox Mulder: (ARCH) I hardly think the FBI's concerned with matters like that.,565000,TRUE,2128,1541,Fox Mulder,FBI BUILDING,I hardly think the FBI's concerned with matters like that.,i hardly think the fbis concerned with matters like that,10
19,163,95,"Marge Simpson: Hello, can I help you?",574000,TRUE,1,5,Marge Simpson,Simpson Home,"Hello, can I help you?",hello can i help you,5
20,163,96,"Fox Mulder: Agents Mulder and Scully, FBI.",576000,TRUE,2128,5,Fox Mulder,Simpson Home,"Agents Mulder and Scully, FBI.",agents mulder and scully fbi,5
21,163,97,"Marge Simpson: (GASPS) I-Is this about that pen that I took from the Post Office? I-I swear I didn't know I put it in my purse. Then I was going to bring it back, but the dog chewed it up and that just made things worse... (STARTS TO HYPERVENTILATE)",578000,TRUE,1,5,Marge Simpson,Simpson Home,"I-Is this about that pen that I took from the Post Office? I-I swear I didn't know I put it in my purse. Then I was going to bring it back, but the dog chewed it up and that just made things worse...",i-is this about that pen that i took from the post office i-i swear i didnt know i put it in my purse then i was going to bring it back but the dog chewed it up and that just made things worse,43
22,163,98,"Dana Scully: Actually, we're here to see your husband about his UFO encounter.",589000,TRUE,2129,5,Dana Scully,Simpson Home,"Actually, we're here to see your husband about his UFO encounter.",actually were here to see your husband about his ufo encounter,11
23,163,99,Marge Simpson: (STILL GASPING) Oh. Come. Come in.,592000,TRUE,1,5,Marge Simpson,Simpson Home,Oh. Come. Come in.,oh come come in,4
24,163,101,"Dana Scully: Mr. Simpson, look at this lineup, and tell us if any of these are the aliens you saw.",599000,TRUE,2129,1542,Dana Scully,Police Lineup Area,"Mr. Simpson, look at this lineup, and tell us if any of these are the aliens you saw.",mr simpson look at this lineup and tell us if any of these are the aliens you saw,18
25,163,102,Alf: (WAVING) Yo!,605000,TRUE,2130,1542,Alf,Police Lineup Area,Yo!,yo,1
26,163,103,"Homer Simpson: No, I'm sorry.",606000,TRUE,2,1542,Homer Simpson,Police Lineup Area,"No, I'm sorry.",no im sorry,3
27,163,104,"MARVIN-THE-MARTIAN-TYPE: Oh, this makes me very angry.",610000,TRUE,2131,1542,MARVIN-THE-MARTIAN-TYPE,Police Lineup Area,"Oh, this makes me very angry.",oh this makes me very angry,6
28,163,106,Dana Scully: Now we're going to run a few tests. This is a simple lie-detector. I'll ask you a few yes-or-no questions and you just answer truthfully. Do you understand?,613000,TRUE,2129,1543,Dana Scully,GOVERNMENT LAB,Now we're going to run a few tests. This is a simple lie-detector. I'll ask you a few yes-or-no questions and you just answer truthfully. Do you understand?,now were going to run a few tests this is a simple lie-detector ill ask you a few yes-or-no questions and you just answer truthfully do you understand,28
29,163,107,Homer Simpson: Yes.,623000,TRUE,2,1543,Homer Simpson,GOVERNMENT LAB,Yes.,yes,1
30,163,109,Homer Simpson: Ow.,635000,TRUE,2,13,Homer Simpson,Laboratory,Ow.,ow,1
